Accepted.binomial,Accepted.sub1,Accepted.sub2,Accepted.Rank,Family,Extinction.Risk,Locality,Climate,Life.form.orig,Life.form.edited,List,Synonym.binomial,,,,,,,,,,,,
Alsinidendron_viscosum,na,na,species,Caryophyllaceae,CR,HAW,WT,(Cl.)_cham.,WP,Rediscovered,Alsinidendron_viscosum,,,,,,,,,,,,
Alsinidendron_viscosum,na,na,species,,,,,,,Synonym,Schiedea_viscosa,,,,,,,,,,,,
Amaranthus_caudatus,na,na,species,,,,,,,Synonym,Amaranthus_mantegazzianus,,,,,,,,,,,,
Amperea_protensa,na,na,species,Euphorbiaceae,CR,WAU,DT,Chamaephyte,WP,Rediscovered,Amperea_protensa,,,,,,,,,,,,
Amphibromus_whitei,na,na,species,Poaceae,EX,QLD,T,Hemicr.,WP,Extinct,Amphibromus_whitei,,,,,,,,,,,,
Amphibromus_whitei,na,na,species,,,,,,,Synonym,Helictotrichon_whitei,,,,,,,,,,,,
Amphitecna_macrophylla,na,na,species,Bignoniaceae,VU,MXG,WT,Phan.,WP,Rediscovered,Amphitecna_macrophylla,,,,,,,,,,,,
Amphitecna_macrophylla,na,na,species,Bignoniaceae,VU,MXS,WT,Phan.,WP,Rediscovered,Amphitecna_macrophylla,,,,,,,,,,,,
Amphitecna_macrophylla,na,na,species,Bignoniaceae,VU,MXT,WT,Phan.,WP,Rediscovered,Amphitecna_macrophylla,,,,,,,,,,,,
Amphitecna_macrophylla,na,na,species,Bignoniaceae,VU,GUA,WT,Phan.,WP,Rediscovered,Amphitecna_macrophylla,,,,,,,,,,,,
Amyris_cubensis,na,na,species,Rutaceae,EX,CUB,WT,Nanophan.,WP,Extinct,Amyris_cubensis,,,,,,,,,,,,
Andersonia_bifida,na,na,species,Ericaceae,CR,WAU,DT,Nanophan._or_phan.,WP,Rediscovered,Andersonia_bifida,,,,,,,,,,,,
Andersonia_longifolia,na,na,species,Ericaceae,CR,WAU,S,Nanophan._or_phan.,WP,Rediscovered,Andersonia_longifolia,,,,,,,,,,,,
Angostura_ossana,na,na,species,Rutaceae,EX,CUB,WT,Phan.,WP,Extinct,Angostura_ossana,,,,,,,,,,,,
Angraecum_calceolus,na,na,species,,,,,,,Synonym,Angraecum_carpophorum,,,,,,,,,,,,
Angraecum_obversifolium,na,na,species,Orchidaceae,CR,MAU,WT,Epiphytic_cham.,E,Rediscovered,Angraecum_obversifolium,,,,,,,,,,,,
Angraecum_obversifolium,na,na,species,Orchidaceae,CR,REU,WT,Epiphytic_cham.,E,Rediscovered,Angraecum_obversifolium,,,,,,,,,,,,
Angraecum_spicatum,na,na,species,Orchidaceae,EX,REU,WT,Epiphytic_cham.,E,Extinct,Angraecum_spicatum,,,,,,,,,,,,
Angraecum_zeylanicum,na,na,species,,,,,,,Synonym,Angraecum_maheense,,,,,,,,,,,,
