Accepted.binomial,Accepted.sub1,Accepted.sub2,Accepted.Rank,Family,Extinction.Risk,Locality,Climate,Life.form.orig,Life.form.edited,List,Synonym.binomial
Amphitecna_macrophylla,na,na,species,Bignoniaceae,Vulnerable,MXG,wet tropical,Phan.,WP,Rediscovered,Amphitecna_macrophylla
Amphitecna_macrophylla,na,na,species,Bignoniaceae,Vulnerable,MXS,wet tropical,Phan.,WP,Rediscovered,Amphitecna_macrophylla
Amphitecna_macrophylla,na,na,species,Bignoniaceae,Vulnerable,MXT,wet tropical,Phan.,WP,Rediscovered,Amphitecna_macrophylla
Amphitecna_macrophylla,na,na,species,Bignoniaceae,Vulnerable,GUA,wet tropical,Phan.,WP,Rediscovered,Amphitecna_macrophylla
Amyris_cubensis,na,na,species,Rutaceae,Extinct,CUB,wet tropical,Nanophan.,WP,Extinct,Amyris_cubensis
Andersonia_bifida,na,na,species,Ericaceae,Critically endangered,WAU,desert/dry shrubland,Nanophan._or_phan.,WP,Rediscovered,Andersonia_bifida
Andersonia_longifolia,na,na,species,Ericaceae,Critically endangered,WAU,subtropical,Nanophan._or_phan.,WP,Rediscovered,Andersonia_longifolia
Angostura_ossana,na,na,species,Rutaceae,Extinct,CUB,wet tropical,Phan.,WP,Extinct,Angostura_ossana
Angraecum_calceolus,na,na,species,,,,,,,Synonym,Angraecum_carpophorum
Angraecum_obversifolium,na,na,species,Orchidaceae,Critically endangered,MAU,wet tropical,Epiphytic_cham.,E,Rediscovered,Angraecum_obversifolium
Angraecum_obversifolium,na,na,species,Orchidaceae,Critically endangered,REU,wet tropical,Epiphytic_cham.,E,Rediscovered,Angraecum_obversifolium
Angraecum_spicatum,na,na,species,Orchidaceae,Extinct,REU,wet tropical,Epiphytic_cham.,E,Extinct,Angraecum_spicatum
Angraecum_zeylanicum,na,na,species,,,,,,,Synonym,Angraecum_maheense
Anonidium_usambarense,na,na,species,Annonaceae,Extinct,TAN,wet tropical,Phan.,WP,Extinct,Anonidium_usambarense
Anthurium_leuconeurum,na,na,species,Araceae,Extinct in the wild,MXT,wet tropical,Cham.,WP,Extinct,Anthurium_leuconeurum
Antidaphne_schottii,na,na,species,Santalaceae,Extinct in the wild,BZL,wet tropical,Hemipar._cham.,WP,Extinct,Antidaphne_schottii
Antidesma_montanum,var,montanum,var,,,,,,,Synonym,Antidesma_discolor
Aphyllorchis_gollani,na,na,species,Orchidaceae,Critically endangered,CHT,temperate,Holomycotrophic_rhizome_geophyte,HP,Rediscovered,Aphyllorchis_gollani
Aphyllorchis_gollani,na,na,species,Orchidaceae,Critically endangered,WHM,temperate,Holomycotrophic_rhizome_geophyte,HP,Rediscovered,Aphyllorchis_gollani
Arachnothryx_cordovana,na,na,species,,,,,,,Synonym,Rondeletia_brandegeeana
Ardisia_marcellanum,na,na,species,Primulaceae,Extinct in the wild,CMN,wet tropical,Nanophan.,WP,Extinct,Ardisia_marcellanum
Ardisia_marcellanum,na,na,species,,,,,,,Synonym,Ardisia_oligantha
Ardisia_schlechteri,na,na,species,Primulaceae,Vulnerable,CMN,wet tropical,Nanophan.,WP,Rediscovered,Ardisia_schlechteri
Ardisia_schlechteri,na,na,species,Primulaceae,Vulnerable,GAB,wet tropical,Nanophan.,WP,Rediscovered,Ardisia_schlechteri
Arenaria_livermorensis,na,na,species,Caryophyllaceae,Extinct,TEX,temperate,hel.,HP,Extinct,Arenaria_livermorensis
Arenaria_serpyllifolia,na,na,species,,,,,,,Synonym,Minuartia_olonensis
Argentipallium_spiceri,na,na,species,Asteraceae,Critically endangered,TAS,subtropical,Cham.,WP,Rediscovered,Argentipallium_spiceri
Argentipallium_spiceri,na,na,species,,,,,,,Synonym,Helichrysum_spiceri
Argyreia_soutteri,na,na,species,Convolvulaceae,Extinct,QLD,wet tropical,Cl._Hem.,HP,Extinct,Argyreia_soutteri
Argyrolobium_angustissimum,na,na,species,Fabaceae,Critically endangered,CPP,subtropical,Tuber_geophyte,HP,Rediscovered,Argyrolobium_angustissimum
Argyrolobium_crinitum,na,na,species,Fabaceae,Critically endangered,CPP,subtropical,Cham.,WP,Rediscovered,Argyrolobium_crinitum
Argyrolobium_splendens,na,na,species,Fabaceae,Critically endangered,CPP,subtropical,Hemicr._or_cham.,WP,Rediscovered,Argyrolobium_splendens
Argyroxiphium_virescens,na,na,species,Asteraceae,Extinct,HAW,subalpine/subarctic,Cham.,WP,Extinct,Argyroxiphium_virescens
Argyroxiphium_virescens,na,na,species,,,,,,,Synonym,Argyroxiphium_forbesii
Armeria_alpina,na,na,species,,,,,,,Synonym,Armeria_pocutica
Armeria_arcuata,na,na,species,Plumbaginaceae,Extinct,POR,subtropical,Cham.,WP,Extinct,Armeria_arcuata
Armeria_neglecta,na,na,species,Plumbaginaceae,Extinct in the wild,POR,temperate,Hemicr.,WP,Extinct,Armeria_neglecta
Artemisia_insipida,na,na,species,Asteraceae,Critically endangered,FRA,temperate,Hemicr.,WP,Rediscovered,Artemisia_insipida
