Accepted.binomial,Accepted.sub1,Accepted.sub2,Accepted.Rank,Family,Extinction.Risk,Locality,Climate,Life.form.orig,Life.form.edited,List,Synonym.binomial
Casearia_sessiliflora,na,na,species,Salicaceae,Extinct in the wild,BZL,wet tropical,Nanophan.,WP,Extinct,Casearia_sessiliflora
Casearia_tinifolia,na,na,species,Salicaceae,Extinct in the wild,MAU,wet tropical,Phan.,WP,Extinct,Casearia_tinifolia
Cassine_attenuata,na,na,species,,,,,,,Synonym,Quiina_ternatiflora
Cassine_xylocarpa,na,na,species,,,,,,,Synonym,Ilex_ternatiflora
Cassipourea_lanceolata,na,na,species,,,,,,,Synonym,Cassipourea_thomassetii
Cassytha_pedicellosa,na,na,species,Lauraceae,Critically endangered,TAS,subtropical,Cl._nanophan.,WP,Rediscovered,Cassytha_pedicellosa
Castilleja_chrymactis,na,na,species,,,,,,,Synonym,Castilleja_leschkeana
Castilleja_guadalupensis,na,na,species,Scrophulariaceae,Extinct,MXI,desert/dry shrubland,Hemipar._cham.,WP,Extinct,Castilleja_guadalupensis
Castilleja_ludoviciana,na,na,species,Scrophulariaceae,Extinct,LOU,temperate,Hemipar._hemicr.,HP,Extinct,Castilleja_ludoviciana
Castilleja_nervata,na,na,species,,,,,,,Synonym,Castilleja_cruenta
Cathedra_grandiflora,na,na,species,Olacaceae,Extinct,BZL,tropical general,Phan.,WP,Extinct,Cathedra_grandiflora
Caulanthus_coulteri,var,lemmonii,var,,,,,,,Synonym,Caulanthus_lemmonii
Centaurea_armoracifolia,na,na,species,Asteraceae,Extinct,GRC,subtropical,hemicr.,HP,Extinct,Centaurea_armoracifolia
Centaurea_leucophaea,subsp,biformis,subsp,,,,,,,Synonym,Centaurea_biformis
Centaurea_psephelloides,na,na,species,Asteraceae,Critically endangered,TUR,temperate,Hemicr.,WP,Rediscovered,Centaurea_psephelloides
Centaurea_saxatilis,na,na,species,Asteraceae,Extinct,KRI,subtropical,Hemicr.,WP,Extinct,Centaurea_saxatilis
Centaurea_tuntasia,na,na,species,Asteraceae,Extinct,GRC,temperate,Hemicr.,WP,Extinct,Centaurea_tuntasia
Centaurium_exalatum,na,na,species,,,,,,,Synonym,Centaurium_namophilum
Centrolepis_caespitosa,na,na,species,Restionaceae,Endangered,WAU,desert/dry shrubland,ther.,A,Rediscovered,Centrolepis_caespitosa
Centrosema_macrocarpum,na,na,species,,,,,,,Synonym,Centrosema_seymourianum
Cephalaria_kesruanica,na,na,species,Caprifoliaceae,Extinct,LBS,subtropical,Hemicr.,WP,Extinct,Cephalaria_kesruanica
Cephalophyllum_parvulum,na,na,species,Aizoaceae,Extinct,CPP,desert/dry shrubland,hemicr.,HP,Extinct,Cephalophyllum_parvulum
Ceratophyllum_muricatum,subsp,australe,subsp,,,,,,,Synonym,Ceratophyllum_floridanum
Ceropegia_antennifera,na,na,species,Apocynaceae,Extinct,NAT,subtropical,cl._phan.,WP,Extinct,Ceropegia_antennifera
Ceropegia_maculata,na,na,species,Apocynaceae,Critically endangered,IND,tropical general,cl._phan.,WP,Rediscovered,Ceropegia_maculata
Ceropegia_maculata,na,na,species,Apocynaceae,Critically endangered,SRL,tropical general,cl._phan.,WP,Rediscovered,Ceropegia_maculata
Cestrum_hortulanum,na,na,species,,,,,,,Synonym,Cestrum_hortulanum
Chamaedorea_pumila,na,na,species,,,,,,,Synonym,Chamaedorea_minima
Chamaedorea_seifrizii,na,na,species,,,,,,,Synonym,Chamaedorea_donnell-smithii
Charpentiera_densiflora,na,na,species,Amaranthaceae,Critically endangered,HAW,wet tropical,phan.,WP,Rediscovered,Charpentiera_densiflora
Chassalia_grandifolia,na,na,species,Rubiaceae,Extinct in the wild,MAU,wet tropical,phan.,WP,Extinct,Chassalia_grandifolia
Cheilophyllum_jamaicense,na,na,species,Scrophulariaceae,Extinct in the wild,JAM,wet tropical,Ther.,A,Extinct,Cheilophyllum_jamaicense
Chenopodium_helenense,na,na,species,Amaranthaceae,Vulnerable,STH,wet tropical,Ther.,A,Rediscovered,Chenopodium_helenense
Chenopodium_nesodendron,na,na,species,Amaranthaceae,Extinct in the wild,JNF,subtropical,Nanophan._or_phan.,WP,Extinct,Chenopodium_nesodendron
Chloraea_venosa,na,na,species,Orchidaceae,Extinct in the wild,PER,wet tropical,hemicr.,HP,Extinct,Chloraea_venosa
Chlorospatha_kressii,na,na,species,Araceae,Extinct,CLM,wet tropical,geophyte,HP,Extinct,Chlorospatha_kressii
Chordifex_chaunocoleus,na,na,species,,,,,,,Synonym,Restio_chaunocoleus
Choristemon_humilis,na,na,species,Ericaceae,Extinct,VIC,subtropical,phan._,WP,Extinct,Choristemon_humilis
Chorizanthe_valida,na,na,species,Polygonaceae,Critically endangered,CAL,subtropical,ther.,A,Rediscovered,Chorizanthe_valida
Chorizema_varium,na,na,species,Fabaceae,Endangered,WAU,desert/dry shrubland,Nanophan.,WP,Rediscovered,Chorizema_varium
Christiana_vescoana,na,na,species,Malvaceae,Extinct in the wild,SCI,wet tropical,Phan.,WP,Extinct,Christiana_vescoana
Chrysophyllum_januariense,na,na,species,Sapotaceae,Vulnerable,BZL,wet tropical,Phan.,WP,Rediscovered,Chrysophyllum_januariense
Cinnamomum_heyneanum,na,na,species,Lauraceae,Vulnerable,IND,tropical general,Phan.,WP,Rediscovered,Cinnamomum_heyneanum
Cinnamomum_travancoricum,na,na,species,Lauraceae,Extinct,IND,tropical general,Phan.,WP,Extinct,Cinnamomum_travancoricum
Circium_hydrophilum,na,na,species,Asteraceae,Vulnerable,CAL,subtropical,Biennial,HP,Rediscovered,Circium_hydrophilum
Cirsium_praeteriens,na,na,species,Asteraceae,Extinct,CAL,temperate,Hemicr.,WP,Extinct,Cirsium_praeteriens
Cirsium_toyoshimae,na,na,species,Asteraceae,Extinct,OGA,wet tropical,hemicr.,HP,Extinct,Cirsium_toyoshimae
Claoxylon_grandifolium,na,na,species,Euphorbiaceae,Extinct,MAU,wet tropical,phan.,WP,Extinct,Claoxylon_grandifolium
Claoxylon_grandifolium,na,na,species,Euphorbiaceae,Extinct,REU,wet tropical,phan.,WP,Extinct,Claoxylon_grandifolium
Clarkia_mosquinii,na,na,species,Onagraceae,Critically endangered,CAL,subtropical,Ther.,A,Rediscovered,Clarkia_mosquinii
Clermontia_multiflora,na,na,species,Campanulaceae,Extinct,HAW,wet tropical,phan.,WP,Extinct,Clermontia_multiflora
Clinopodium_palmeri,na,na,species,Lamiaceae,Extinct,MXI,desert/dry shrubland,Cham.,WP,Extinct,Clinopodium_palmeri
Cnidoscolus_fragrans,na,na,species,Euphorbiaceae,Extinct,CUB,wet tropical,Phan.,WP,Extinct,Cnidoscolus_fragrans
Cochlearia_polonica,na,na,species,Brassicaceae,Critically endangered,POL,temperate,Biennial_or_hemicr.,HP,Rediscovered,Cochlearia_polonica
Coelogyne_acutilabium,na,na,species,Orchidaceae,Extinct,MLY?,wet tropical,Pseudobulb_cham.,WP,Extinct,Coelogyne_acutilabium
Coelogyne_micrantha,na,na,species,,,,,,,Synonym,Coelogyne_clarkei
Coleanthera_coelophylla,na,na,species,Ericaceae,Data deficient,WAU,subtropical,phan.,WP,Rediscovered,Coleanthera_coelophylla
Coleanthera_virgata,na,na,species,Ericaceae,Extinct,WAU,desert/dry shrubland,phan.,WP,Extinct,Coleanthera_virgata
Comesperma_lanceolatum,na,na,species,Polygalaceae,Data deficient,WAU,desert/dry shrubland,nanophan.,WP,Rediscovered,Comesperma_lanceolatum
Comesperma_rhadinocarpum,na,na,species,Polygalaceae,Data deficient,WAU,desert/dry shrubland,Ther.,A,Rediscovered,Comesperma_rhadinocarpum
Commidendrum_rotundifolium,na,na,species,Asteraceae,Extinct in the wild,STH,tropical general,Nanophan._or_phan.,WP,Extinct,Commidendrum_rotundifolium
Commidendrum_spurinum,na,na,species,,,,,,,Synonym,Commidendrum_burchellii
Comocladia_undulata,na,na,species,Anacardiaceae,Extinct,WIN,wet tropical,Nanophan._or_phan.,WP,Extinct,Comocladia_undulata
Condylocarpon_glabrum,na,na,species,Apocynaceae,Extinct,BZL,seasonally dry tropical,cl._cham.,WP,Extinct,Condylocarpon_glabrum
Conophytum_semivestitum,na,na,species,Aizoaceae,Extinct,CPP,desert/dry shrubland,Succ._hemicr._or_cham.,WP,Extinct,Conophytum_semivestitum
Consolea_moniliformis,na,na,species,,,,,,,Synonym,Opuntia_panellana
Cordylanthus_mollis,na,na,species,Scrophulariaceae,Vulnerable,CAL,subtropical,Hemipar._ther.,A,Rediscovered,Cordylanthus_mollis
Cordylanthus_palmatus,na,na,species,Scrophulariaceae,Critically endangered,CAL,subtropical,Hemipar._ther.,A,Rediscovered,Cordylanthus_palmatus
Corycium_vestitum,na,na,species,Orchidaceae,LR,CPP,subtropical,hemicr.,HP,Rediscovered,Corycium_vestitum
Cosmos_atrosanguineus,na,na,species,Asteraceae,Critically endangered,MXE,desert/dry shrubland,Tuber_geophyte,HP,Rediscovered,Cosmos_atrosanguineus
Crassula_alcicornis,na,na,species,Crassulaceae,Critically endangered,CPP,desert/dry shrubland,Succ._cham.,WP,Rediscovered,Crassula_alcicornis
Crataegus_flabellata,na,na,species,,,,,,,Synonym,Crataegus_beata
Crataegus_harbisonii,na,na,species,Rosaceae,Critically endangered,ALA,temperate,Phan.,WP,Rediscovered,Crataegus_harbisonii
Crataegus_harbisonii,na,na,species,Rosaceae,Critically endangered,TEN,temperate,Phan.,WP,Rediscovered,Crataegus_harbisonii
Crataegus_intricata,na,na,species,,,,,,,Synonym,Crataegus_foetida
Crepidiastrum_ameristophyllum,na,na,species,Asteraceae,Critically endangered,OGA,tropical general,Nanophan.,WP,Rediscovered,Crepidiastrum_ameristophyllum
Crepidiastrum_grandicollum,na,na,species,Asteraceae,Critically endangered,OGA,subtropical,Cham.,WP,Rediscovered,Crepidiastrum_grandicollum
Crinum_mauritianum,na,na,species,Amaryllidaceae,Extinct in the wild,MAU,wet tropical,Bulb_geophyte,HP,Extinct,Crinum_mauritianum
Crotalaria_ekmanii,na,na,species,,,,,,,Synonym,Crotalaria_urbaniana
Croton_anisatus,na,na,species,Euphorbiaceae,Extinct,MDG,seasonally dry tropical,phan.,WP,Extinct,Croton_anisatus
Croton_grangerioides,na,na,species,Euphorbiaceae,Vulnerable,MAU,wet tropical,Nanophan.,WP,Rediscovered,Croton_grangerioides
Croton_magneticus,na,na,species,Euphorbiaceae,Vulnerable,QLD,tropical general,phan.,WP,Rediscovered,Croton_magneticus
Crudia_zeylanica,na,na,species,Fabaceae,Extinct,SRL,wet tropical,Phan.,WP,Extinct,Crudia_zeylanica
Cryptantha_aperta,na,na,species,Boraginaceae,Extinct,COL,temperate,Hemicr.,WP,Extinct,Cryptantha_aperta
Cryptantha_virginensis,na,na,species,,,,,,,Synonym,Cryptantha_insolita
Cryptanthus_bivittatus,na,na,species,Bromeliaceae,Critically endangered,BZE,tropical general,Hemicr.,WP,Rediscovered,Cryptanthus_bivittatus
Cryptanthus_bromelioides,na,na,species,,,,,,,Synonym,Cryptanthus_diversifolius
Cryptanthus_lacerdae,na,na,species,Bromeliaceae,Extinct in the wild,cult,wet tropical,Hemicr.,WP,Extinct,Cryptanthus_lacerdae
Cryptocentrum_lehmannii,na,na,species,,,,,,,Synonym,Campylocentrum_lehmannii
Cupaniopsis_crassivalvis,na,na,species,Sapindaceae,Extinct,NWC,wet tropical,Phan.,WP,Extinct,Cupaniopsis_crassivalvis
Cuphea_crudyana,na,na,species,Lythraceae,Extinct,WIN,wet tropical,Cham.,WP,Extinct,Cuphea_crudyana
Cuscuta_indecora,var,warneri,var,,,,,,,Synonym,Cuscuta_warneri
Cyanea_arborea,na,na,species,Campanulaceae,Extinct,HAW,wet tropical,Nanophan._or_phan.,WP,Extinct,Cyanea_arborea
Cyanea_asplenifolia,na,na,species,Campanulaceae,Critically endangered,HAW,wet tropical,Nanophan.,WP,Rediscovered,Cyanea_asplenifolia
Cyanea_comata,na,na,species,Campanulaceae,Extinct,HAW,wet tropical,Nanophan.,WP,Extinct,Cyanea_comata
Cyanea_cylindrocalyx,na,na,species,Campanulaceae,Extinct,HAW,wet tropical,Nanophan.,WP,Extinct,Cyanea_cylindrocalyx
Cyanea_dolichopoda,na,na,species,Campanulaceae,Extinct,HAW,wet tropical,Nanophan.,WP,Extinct,Cyanea_dolichopoda
Cyanea_dunbariae,na,na,species,Campanulaceae,Critically endangered,HAW,wet tropical,Nanophan.,WP,Rediscovered,Cyanea_dunbariae
Cyanea_eleeleensis,na,na,species,Campanulaceae,Extinct in the wild,HAW,wet tropical,Nanophan.,WP,Extinct,Cyanea_eleeleensis
Cyanea_giffardii,na,na,species,Campanulaceae,Extinct,HAW,wet tropical,Phan.,WP,Extinct,Cyanea_giffardii
Cyanea_glabra,na,na,species,Campanulaceae,Critically endangered,HAW,wet tropical,Nanophan.,WP,Rediscovered,Cyanea_glabra
Cyanea_kolekoleensis,na,na,species,Campanulaceae,Extinct in the wild,HAW,wet tropical,Nanophan.,WP,Extinct,Cyanea_kolekoleensis
Cyanea_kuhihewa,na,na,species,Campanulaceae,Extinct in the wild,HAW,wet tropical,Nanophan.,WP,Extinct,Cyanea_kuhihewa
Cyanea_linearifolia,na,na,species,Campanulaceae,Extinct,HAW,wet tropical,Nanophan.,WP,Extinct,Cyanea_linearifolia
Cyanea_longissima,na,na,species,Campanulaceae,Extinct,HAW,wet tropical,Nanophan.,WP,Extinct,Cyanea_longissima
Cyanea_obtusa,na,na,species,Campanulaceae,Critically endangered,HAW,wet tropical,Nanophan._or_phan.,WP,Rediscovered,Cyanea_obtusa
Cyanea_parvifolia,na,na,species,Campanulaceae,Extinct,HAW,wet tropical,nanophan.,WP,Extinct,Cyanea_parvifolia
Cyanea_pinnatifida,na,na,species,Campanulaceae,Extinct in the wild,HAW,wet tropical,Nanophan.,WP,Extinct,Cyanea_pinnatifida
Cyanea_pohaku,na,na,species,,,,,,,Synonym,Clermontia_haleakalensis
Cyanea_procera,na,na,species,Campanulaceae,Critically endangered,HAW,wet tropical,Phan.,WP,Rediscovered,Cyanea_procera
Cyanea_profuga,na,na,species,Campanulaceae,Critically endangered,HAW,wet tropical,Nanophan.,WP,Rediscovered,Cyanea_profuga
Cyanea_purpurellifolia,na,na,species,Campanulaceae,Critically endangered,HAW,wet tropical,Nanophan.,WP,Rediscovered,Cyanea_purpurellifolia
Cyanea_pycnocarpa,na,na,species,Campanulaceae,Extinct,HAW,wet tropical,Phan.,WP,Extinct,Cyanea_pycnocarpa
Cyanea_quercifolia,na,na,species,Campanulaceae,Extinct,HAW,wet tropical,Phan.,WP,Extinct,Cyanea_quercifolia
Cyanea_recta,na,na,species,Campanulaceae,Extinct,HAW,wet tropical,Nanophan.,WP,Extinct,Cyanea_recta
Cyanea_rivularis,na,na,species,Campanulaceae,Critically endangered,HAW,wet tropical,Nanophan._or_phan.,WP,Rediscovered,Cyanea_rivularis
Cyanea_truncata,na,na,species,Campanulaceae,Extinct in the wild,HAW,wet tropical,Nanophan.,WP,Extinct,Cyanea_truncata
Cyanea_undulata,na,na,species,Campanulaceae,Critically endangered,HAW,wet tropical,Nanophan.,WP,Rediscovered,Cyanea_undulata
Cyclopia_filiformis,na,na,species,Fabaceae,Vulnerable,CPP,subtropical,phan.,WP,Rediscovered,Cyclopia_filiformis
Cyclopia_laxiflora,na,na,species,Fabaceae,Data deficient,CPP,subtropical,phan.,WP,Rediscovered,Cyclopia_laxiflora
Cylindrocline_lorencei,na,na,species,Asteraceae,Extinct in the wild,MAU,wet tropical,Nanophan.,WP,Extinct,Cylindrocline_lorencei
Cylindropuntia_densiaculeata,na,na,species,,,,,,,Synonym,Opuntia_densiaculeata
Cylindropuntia_leptocaulis,na,na,species,,,,,,,Synonym,Opuntia_mortolensis
Cynometra_beddomei,na,na,species,Fabaceae,Extinct,IND,seasonally dry tropical,Phan.,WP,Extinct,Cynometra_beddomei
Cynorkis_rosellata,na,na,species,Orchidaceae,Vulnerable,MDG,wet tropical,Tuber_geophyte,HP,Rediscovered,Cynorkis_rosellata
Cynorkis_rosellata,na,na,species,Orchidaceae,Vulnerable,REU,wet tropical,Tuber_geophyte,HP,Rediscovered,Cynorkis_rosellata
Cyperus_pennatiformis,na,na,species,Cyperaceae,Endangered,HAW,wet tropical,Hemicr._or_rhizome_geophyte,WP,Rediscovered,Cyperus_pennatiformis
Cyperus_rockii,na,na,species,Cyperaceae,Extinct in the wild,HAW,wet tropical,hemicr.,HP,Extinct,Cyperus_rockii
Cyrtandra_cyaneoides,na,na,species,Gesneriaceae,Endangered,HAW,wet tropical,Nanophan.,WP,Rediscovered,Cyrtandra_cyaneoides
Cyrtandra_gracilis,na,na,species,Gesneriaceae,Critically endangered,HAW,wet tropical,nanophan.,WP,Rediscovered,Cyrtandra_gracilis
Cyrtandra_gracilis,na,na,species,,,,,,,Synonym,Cyrtandra_linearis
Cyrtandra_kohalae,na,na,species,Gesneriaceae,Extinct,HAW,wet tropical,nanophan.,WP,Extinct,Cyrtandra_kohalae
Cyrtandra_olona,na,na,species,Gesneriaceae,Extinct,HAW,wet tropical,Nanophan.,WP,Extinct,Cyrtandra_olona
Cyrtandra_waiolani,na,na,species,Gesneriaceae,Extinct in the wild,HAW,wet tropical,Nanophan.,WP,Extinct,Cyrtandra_waiolani
Dampiera_lavandulacea,na,na,species,,,,,,,Synonym,Dampiera_rupicola
Dampiera_tenuicaulis,var,curvula,var,,,,,,,Synonym,Dampiera_helmsii
Dampiera_wellsiana,na,na,species,,,,,,,Synonym,Dampiera_humilis
Danais_corymbosa,na,na,species,Rubiaceae,Extinct,ROD,wet tropical,Cl._nanophan.,WP,Extinct,Danais_corymbosa
Danais_sulcata,na,na,species,Rubiaceae,Endangered,MAU,wet tropical,Cl._nanophan.,WP,Rediscovered,Danais_sulcata
Daphne_oleoides,subsp,baksanica,subsp,,,,,,,Synonym,Daphne_baksanica
Daphnopsis_bissei,na,na,species,Poaceae,Extinct,CUB,seasonally dry tropical,Nanophan._or_phan.,WP,Extinct,Daphnopsis_bissei
Deinandra_mohavensis,na,na,species,Asteraceae,Vulnerable,CAL,subtropical,Ther.,A,Rediscovered,Deinandra_mohavensis
Deinandra_mohavensis,na,na,species,,,,,,,Synonym,Hemizonia_mohavensis
Delilia_inelegans,na,na,species,Asteraceae,Extinct,GAL,seasonally dry tropical,Hemicr._or_cham.,WP,Extinct,Delilia_inelegans
Delissea_fallax,na,na,species,Campanulaceae,Extinct,HAW,wet tropical,Nanophan.,WP,Extinct,Delissea_fallax
Delissea_kauaiensis,na,na,species,Campanulaceae,Endangered,HAW,wet tropical,Phan.,WP,Rediscovered,Delissea_kauaiensis
Delissea_laciniata,na,na,species,Campanulaceae,Extinct,HAW,wet tropical,nanophan.,WP,Extinct,Delissea_laciniata
Delissea_lanaiensis,na,na,species,Campanulaceae,Extinct,HAW,wet tropical,Nanophan.,WP,Extinct,Delissea_lanaiensis
Delissea_lauliiana,na,na,species,Campanulaceae,Extinct,HAW,wet tropical,Nanophan.,WP,Extinct,Delissea_lauliiana
Delissea_niihauensis,na,na,species,Campanulaceae,Extinct,HAW,wet tropical,Nanophan._or_phan.,WP,Extinct,Delissea_niihauensis
Delissea_parviflora,na,na,species,Campanulaceae,Extinct,HAW,wet tropical,Nanophan.,WP,Extinct,Delissea_parviflora
Delissea_sinuata,na,na,species,Campanulaceae,Extinct,HAW,wet tropical,Nanophan.,WP,Extinct,Delissea_sinuata
Delissea_subcordata,na,na,species,Campanulaceae,Extinct,HAW,wet tropical,Nanophan.,WP,Extinct,Delissea_subcordata
Delissea_undulata,na,na,species,Campanulaceae,Extinct,HAW,wet tropical,Phan.,WP,Extinct,Delissea_undulata
Dendrobium_laciniosum,na,na,species,Orchidaceae,Endangered,MLY,wet tropical,Epiphyte,E,Rediscovered,Dendrobium_laciniosum
Dendrobium_laciniosum,na,na,species,Orchidaceae,Endangered,BOR,wet tropical,Epiphyte,E,Rediscovered,Dendrobium_laciniosum
Dendrobium_xichouense,na,na,species,Orchidaceae,Extinct in the wild,CHC,subtropical,Epiphyte,E,Extinct,Dendrobium_xichouense
Dendropemon_brevipes,na,na,species,Loranthaceae,Vulnerable,BAH,wet tropical,epiphyte,E,Rediscovered,Dendropemon_brevipes
Dendrophthora_terminalis,na,na,species,Loranthaceae,Vulnerable,COS,wet tropical,nanophan.,WP,Rediscovered,Dendrophthora_terminalis
Derris_ovalifolia,na,na,species,Fabaceae,Critically endangered,IND,wet tropical,Cl.,WP,Rediscovered,Derris_ovalifolia
Dianthus_androsaceus,na,na,species,Caryophyllaceae,Vulnerable,GRC,temperate,Cham.,WP,Rediscovered,Dianthus_androsaceus
Dianthus_caryophyllus,na,na,species,,,,,,,Synonym,Dianthus_multinervis
Dianthus_urumoffii,na,na,species,Caryophyllaceae,Critically endangered,BUL,temperate,Cham.,WP,Rediscovered,Dianthus_urumoffii
Diastella_buekii,na,na,species,Proteaceae,Critically endangered,CPP,subtropical,Cham.,WP,Rediscovered,Diastella_buekii
Dicliptera_falcata,na,na,species,Acanthaceae,Critically endangered,MAU,wet tropical,Cham.,WP,Rediscovered,Dicliptera_falcata
Dicrastylis_incana,na,na,species,,,,,,,Synonym,Dicrastylis_morrisonii
Dierama_elatum,na,na,species,Iridaceae,Extinct in the wild,NAT,subtropical,Tuber_geophyte,HP,Extinct,Dierama_elatum
Dierama_elatum,na,na,species,Iridaceae,Extinct in the wild,SWZ,subtropical,Tuber_geophyte,HP,Extinct,Dierama_elatum
Digitaria_setigera,na,na,species,,,,,,,Synonym,Panicum_norfolkianum
Diosma_fallax,na,na,species,Rutaceae,Vulnerable,CPP,subtropical,Cham._or_nanophan.,WP,Rediscovered,Diosma_fallax
Dipcadi_concanense,na,na,species,Asparagaceae,Critically endangered,IND,wet tropical,Bulb_geophyte,HP,Rediscovered,Dipcadi_concanense
Dipcadi_reidii,na,na,species,Asparagaceae,Critically endangered,WHM,subtropical,Bulb_geophyte,HP,Rediscovered,Dipcadi_reidii
Diplotaxis_siettiana,na,na,species,Brassicaceae,Extinct in the wild,SPA,subtropical,Ther.,A,Extinct,Diplotaxis_siettiana
Dipterocarpus_cinereus,na,na,species,Dipterocarpaceae,Extinct,SUM,wet tropical,Phan.,WP,Extinct,Dipterocarpus_cinereus
Dirachma_socotrana,na,na,species,Geraniaceae,Vulnerable,SOC,desert/dry shrubland,Phan.,WP,Rediscovered,Dirachma_socotrana
Disa_brevipetala,na,na,species,Orchidaceae,Extinct,CPP,subtropical,Tuber_geophyte,HP,Extinct,Disa_brevipetala
Disa_ecalcarata,na,na,species,Orchidaceae,Extinct,CPP,subtropical,Tuber_geophyte_,HP,Extinct,Disa_ecalcarata
Disa_ecalcarata,na,na,species,,,,,,,Synonym,Monadenia_ecalcarata
Disa_forcipata,na,na,species,Orchidaceae,Extinct,CPP,subtropical,Tuber_geophyte_,HP,Extinct,Disa_forcipata
Disperis_kamerunensis,na,na,species,Orchidaceae,Extinct,CMN,wet tropical,Tuber_geophyte,HP,Extinct,Disperis_kamerunensis
Dissanthelium_californicum,na,na,species,Poaceae,Critically endangered,CAL,subtropical,Ther.,A,Rediscovered,Dissanthelium_californicum
Dissanthelium_californicum,na,na,species,Poaceae,Critically endangered,MXI,subtropical,Ther.,A,Rediscovered,Dissanthelium_californicum
Diuris_bracteata,na,na,species,Orchidaceae,Critically endangered,NSW,desert/dry shrubland,hemicr.,HP,Rediscovered,Diuris_bracteata
Dombeya_mauritiana,na,na,species,Malvaceae,Critically endangered,MAU,wet tropical,Phan.,WP,Rediscovered,Dombeya_mauritiana
Dombeya_rodriguesiana,na,na,species,Malvaceae,Critically endangered,ROD,wet tropical,Phan.,WP,Rediscovered,Dombeya_rodriguesiana
Dorstenia_brevipetiolata,na,na,species,Moraceae,Extinct,BZL,wet tropical,cham.,WP,Extinct,Dorstenia_brevipetiolata
Dorstenia_colombiana,na,na,species,Moraceae,Critically endangered,CLM,wet tropical,Nanophan._or_phan.,WP,Rediscovered,Dorstenia_colombiana
Dorstenia_conceptionis,na,na,species,Moraceae,Extinct in the wild,BZL,wet tropical,Hemicr.,WP,Extinct,Dorstenia_conceptionis
Downingia_elegans,na,na,species,Campanulaceae,LR,BRC,temperate,ther.,A,Rediscovered,Downingia_elegans
Downingia_elegans,na,na,species,Campanulaceae,LR,WAS,temperate,ther.,A,Rediscovered,Downingia_elegans
Downingia_elegans,na,na,species,Campanulaceae,LR,ORE,temperate,ther.,A,Rediscovered,Downingia_elegans
Downingia_elegans,na,na,species,Campanulaceae,LR,CAL,temperate,ther.,A,Rediscovered,Downingia_elegans
Downingia_elegans,na,na,species,Campanulaceae,LR,NEV,temperate,ther.,A,Rediscovered,Downingia_elegans
Draba_incerta,na,na,species,,,,,,,Synonym,Draba_peasei
Draba_thlaspiformis,na,na,species,Brassicaceae,Extinct,CLC,subtropical,Cham.,WP,Extinct,Draba_thlaspiformis
Dracaena_umbraculifera,na,na,species,Asparagaceae,Extinct in the wild,MAU,wet tropical,Phan.,WP,Extinct,Dracaena_umbraculifera
Drimia_duthieae,na,na,species,,,,,,,Synonym,Urginea_duthiae
Drimia_polyphylla,na,na,species,Asparagaceae,Extinct,IND,seasonally dry tropical,Bulb_geophyte,HP,Extinct,Drimia_polyphylla
Drimia_polyphylla,na,na,species,,,,,,,Synonym,Urginea_polyphylla
Drypetes_dussii,na,na,species,Euphorbiaceae,Endangered,WIN,wet tropical,Phan.,WP,Rediscovered,Drypetes_dussii
Dubautia_kenwoodii,na,na,species,Asteraceae,Extinct in the wild,HAW,wet tropical,phan.,WP,Extinct,Dubautia_kenwoodii
Ducrosia_ismaelis,na,na,species,Apiaceae,Extinct,EGY,desert/dry shrubland,Hemicr.,WP,Extinct,Ducrosia_ismaelis
Dyckia_marnier-lapostolii,na,na,species,Bromeliaceae,Endangered,BZC,desert/dry shrubland,Hemicr.,WP,Rediscovered,Dyckia_marnier-lapostolii
Dypsis_acaulis,na,na,species,Arecaceae,Critically endangered,MDG,wet tropical,Cham.,WP,Rediscovered,Dypsis_acaulis
Dypsis_acuminatum,na,na,species,,,,,,,Synonym,Chrysalidocarpus_acuminatum
Dypsis_ambanjae,na,na,species,Arecaceae,Extinct in the wild,MDG,wet tropical,phan.,WP,Extinct,Dypsis_ambanjae
Dypsis_ankaizinensis,na,na,species,,,,,,,Synonym,Chrysalidocarpus_ankaizinensis
Dypsis_baronii,na,na,species,,,,,,,Synonym,Neodypsis_compactus
Dypsis_basilonga,na,na,species,,,,,,,Synonym,Neodypsis_basilongus
Dypsis_bernieriana,na,na,species,,,,,,,Synonym,Neophloga_bernieriana
Dypsis_betamponensis,na,na,species,Arecaceae,Critically endangered,MDG,wet tropical,phan.,WP,Rediscovered,Dypsis_betamponensis
Dypsis_betamponensis,na,na,species,,,,,,,Synonym,Neophloga_betamponensis
Dypsis_bosseri,na,na,species,Arecaceae,Critically endangered,MDG,tropical general,phan.,WP,Rediscovered,Dypsis_bosseri
Dypsis_canaliculata,na,na,species,Arecaceae,Extinct in the wild,MDG,wet tropical,Phan.,WP,Extinct,Dypsis_canaliculata
Dypsis_canescens,na,na,species,Arecaceae,Extinct in the wild,MDG,tropical general,phan.,WP,Extinct,Dypsis_canescens
Dypsis_canescens,na,na,species,,,,,,,Synonym,Chrysalidocarpus_canescens
Dypsis_ceracea,na,na,species,Arecaceae,Critically endangered,MDG,wet tropical,Phan.,WP,Rediscovered,Dypsis_ceracea
Dypsis_ceraceus,na,na,species,,,,,,,Synonym,Neodypsis_ceraceus
Dypsis_commersoniana,na,na,species,,,,,,,Synonym,Neophloga_commersoniana
Dypsis_commersoniana,na,na,species,,,,,,,Synonym,Neophloga_pygmaea
Dypsis_corniculata,na,na,species,,,,,,,Synonym,Neophloga_corniculata
